game,move,num_playouts,mean_num_playouts_per_node
0,1,257,6.589743589743589
0,3,263,5.479166666666667
0,5,265,5.0
0,7,263,4.696428571428571
0,9,263,4.383333333333334
0,11,32,2.6666666666666665
0,13,293,3.7564102564102564
1,1,256,8.0
1,3,254,6.864864864864865
1,5,270,4.909090909090909
1,7,271,3.8714285714285714
2,1,245,8.75
2,3,253,6.023809523809524
2,5,258,6.0
2,7,264,3.473684210526316
2,9,269,3.5866666666666664
3,1,253,6.487179487179487
3,3,269,5.38
3,5,271,3.816901408450704
3,7,306,2.6153846153846154
4,0,254,7.055555555555555
4,2,260,5.777777777777778
4,4,264,4.8
4,6,266,5.32
4,8,272,3.8309859154929575
4,10,269,3.4050632911392404
4,12,298,1.7426900584795322
5,1,256,6.564102564102564
5,3,248,6.702702702702703
5,5,258,5.16
5,7,273,4.2
5,9,266,3.2048192771084336
5,11,271,3.5657894736842106
6,0,249,6.225
6,2,255,6.538461538461538
6,4,248,6.888888888888889
6,6,261,4.833333333333333
6,8,273,3.5921052631578947
6,10,298,1.4326923076923077
7,0,252,5.8604651162790695
7,2,258,6.45
7,4,248,6.702702702702703
7,6,249,8.03225806451613
7,8,262,5.038461538461538
7,10,265,3.3974358974358974
8,0,253,7.027777777777778
8,2,258,6.45
8,4,257,6.425
8,6,267,5.134615384615385
8,8,276,3.5844155844155843
8,10,309,3.1530612244897958
9,1,251,6.605263157894737
9,3,255,5.0
9,5,259,4.17741935483871
9,7,272,3.8857142857142857
9,9,290,2.7358490566037736
9,11,323,2.8584070796460175
10,1,254,7.470588235294118
10,3,259,5.51063829787234
10,5,263,3.757142857142857
10,7,274,4.2153846153846155
11,1,259,6.166666666666667
11,3,250,5.9523809523809526
11,5,265,6.0227272727272725
11,7,264,4.061538461538461
11,9,271,3.2261904761904763
12,1,257,7.3428571428571425
12,3,255,5.1
12,5,262,4.158730158730159
12,7,265,3.8970588235294117
12,9,279,3.5316455696202533
13,0,254,6.512820512820513
13,2,260,5.909090909090909
13,4,271,4.370967741935484
13,6,265,3.1927710843373496
13,8,288,3.891891891891892
13,10,304,1.9363057324840764
14,0,260,5.098039215686274
14,2,262,5.038461538461538
14,4,259,5.285714285714286
14,6,264,4.258064516129032
14,8,263,4.4576271186440675
14,10,273,3.689189189189189
14,12,298,2.547008547008547
15,1,251,6.972222222222222
15,3,260,5.3061224489795915
15,5,271,4.106060606060606
15,7,269,3.164705882352941
15,9,301,2.894230769230769
15,11,304,2.393700787401575
16,0,263,6.116279069767442
16,2,256,5.019607843137255
16,4,268,4.785714285714286
16,6,270,4.285714285714286
16,8,305,3.24468085106383
16,10,304,3.1666666666666665
17,0,259,5.51063829787234
17,2,266,5.32
17,4,274,4.151515151515151
17,6,266,4.508474576271187
17,8,266,3.8
17,10,268,3.4358974358974357
18,0,255,6.7105263157894735
18,2,255,8.225806451612904
18,4,251,6.275
18,6,268,4.785714285714286
18,8,275,3.481012658227848
18,10,284,3.641025641025641
19,0,254,7.696969696969697
19,2,255,6.7105263157894735
19,4,255,6.375
19,6,261,4.5
19,8,275,3.6666666666666665
19,10,298,1.9866666666666666
20,0,257,6.945945945945946
20,2,255,6.219512195121951
20,4,262,5.137254901960785
20,6,268,3.9411764705882355
20,8,265,4.732142857142857
21,0,253,7.027777777777778
21,2,259,7.4
21,4,264,4.8
21,6,269,4.338709677419355
21,8,265,3.581081081081081
21,10,267,3.0
21,12,297,2.267175572519084
21,14,292,1.813664596273292
22,1,252,7.636363636363637
22,3,259,5.886363636363637
22,5,273,4.136363636363637
22,7,271,3.2650602409638556
22,9,275,3.5256410256410255
22,11,296,1.472636815920398
23,1,255,6.375
23,3,260,5.909090909090909
23,5,258,5.375
23,7,265,4.649122807017544
23,9,287,3.776315789473684
23,11,302,2.377952755905512
24,0,258,4.607142857142857
24,2,261,4.9245283018867925
24,4,267,4.45
24,6,289,2.8613861386138613
24,8,273,3.9565217391304346
24,10,277,3.5974025974025974
25,1,257,7.138888888888889
25,3,255,5.1
25,5,265,3.8970588235294117
