game,move,mean,median,max
0,0,9.732673267326733,10.0,17
0,2,9.20754716981132,10.0,14
0,4,6.616279069767442,7.0,10
0,6,5.446601941747573,6.0,8
0,8,5.334905660377358,6.0,8
0,10,4.351694915254237,4.0,7
0,12,3.6881959910913142,4.0,6
1,0,8.534031413612565,10.0,11
1,2,6.657718120805369,7.0,10
1,4,5.552486187845304,6.0,8
1,6,5.969135802469136,6.0,10
1,8,5.691011235955056,6.0,9
1,10,5.119658119658119,6.0,7
2,0,10.904761904761905,11.0,19
2,2,17.625,18.5,26
2,4,13.805194805194805,15.0,20
2,6,12.427083333333334,13.0,17
2,8,6.9609756097560975,7.0,9
2,10,4.3125,5.0,6
3,1,8.78448275862069,10.0,13
3,3,8.214814814814815,8.0,12
3,5,8.158730158730158,9.0,12
3,7,6.257309941520468,6.0,10
3,9,4.968127490039841,6.0,7
4,1,6.762589928057554,7.0,10
4,3,6.260355029585799,7.0,10
4,5,5.5125628140703515,5.0,9
4,7,4.18360655737705,5.0,6
5,0,10.825581395348838,11.0,17
5,2,9.545454545454545,10.0,15
5,4,10.03061224489796,11.0,15
5,6,8.730434782608695,9.0,13
5,8,7.616766467065868,9.0,10
5,10,4.96734693877551,5.0,7
5,12,3.4154411764705883,3.0,6
6,0,10.087378640776699,10.0,16
6,2,10.439252336448599,12.0,13
6,4,6.7482993197278915,7.0,10
6,6,5.726495726495727,6.0,7
6,8,5.334645669291339,6.0,7
6,10,5.024054982817869,6.0,7
6,12,3.233846153846154,3.0,4
7,1,11.903614457831326,13.0,19
7,3,11.597826086956522,12.0,16
7,5,7.856115107913669,8.0,12
7,7,6.382716049382716,6.5,10
7,9,5.504385964912281,6.0,7
7,11,3.424892703862661,4.0,4
8,1,10.383177570093459,11.0,14
8,3,7.350746268656716,8.0,10
8,5,5.3621621621621625,6.0,10
8,7,6.678362573099415,7.0,10
8,9,5.73015873015873,6.0,8
8,11,4.889240506329114,5.0,7
9,0,9.792307692307693,10.0,15
9,2,8.495934959349594,9.0,13
9,4,6.494252873563219,7.0,10
9,6,4.3628318584070795,4.0,7
9,8,6.015625,7.0,9
9,10,3.1363636363636362,3.0,4
10,0,8.244897959183673,9.0,11
10,2,7.13013698630137,8.0,10
10,4,6.043956043956044,6.0,10
10,6,5.166666666666667,5.0,9
10,8,3.823728813559322,4.0,5
11,1,13.246753246753247,15.0,20
11,3,12.558441558441558,14.0,17
11,5,7.838709677419355,8.0,12
11,7,6.733333333333333,7.0,11
11,9,6.1138613861386135,6.0,9
11,11,4.909465020576132,5.0,7
12,1,7.852941176470588,8.0,11
12,3,5.709302325581396,6.0,9
12,5,4.741626794258373,5.0,8
12,7,4.4334763948497855,4.0,7
12,9,3.1476190476190475,3.0,4
13,1,13.702702702702704,14.0,21
13,3,10.223300970873787,11.0,17
13,5,9.330275229357799,10.0,13
13,7,6.607142857142857,7.0,10
13,9,4.793706293706293,5.0,7
13,11,3.0299003322259135,3.0,5
14,0,10.57,11.0,15
14,2,8.375,9.0,12
14,4,6.651006711409396,7.0,10
14,6,5.782407407407407,6.0,9
14,8,5.663316582914573,6.0,9
14,10,4.970779220779221,6.0,7
14,12,4.477911646586345,4.0,7
14,14,4.1940298507462686,4.0,6
14,16,3.3942652329749103,3.0,6
15,0,8.811965811965813,9.0,14
15,2,7.3478260869565215,8.0,11
15,4,6.45045045045045,7.0,8
15,6,4.183760683760684,4.0,7
15,8,3.608695652173913,4.0,6
15,10,4.589743589743589,5.0,8
16,1,8.316666666666666,9.0,12
