game,move,mean,median,max
0,1,3.5555555555555554,4.0,7
0,3,1.4,1.0,3
0,5,1.0,1.0,2
0,7,4.0,4.0,8
0,9,1.0,1.0,2
0,11,3.3333333333333335,4.0,7
1,1,4.928571428571429,5.0,10
1,3,1.0,1.0,2
1,5,2.9285714285714284,3.0,6
1,7,3.3076923076923075,4.0,7
1,9,1.3333333333333333,1.0,3
1,11,1.2222222222222223,1.0,3
1,13,4.931034482758621,5.0,11
1,15,3.5714285714285716,4.0,8
2,0,1.5,1.5,3
2,2,1.5,1.5,3
2,4,3.7142857142857144,3.5,8
2,6,4.684210526315789,5.0,10
2,8,3.608695652173913,3.0,7
2,10,5.607142857142857,6.5,11
2,12,3.4857142857142858,2.0,9
2,14,3.3333333333333335,2.0,9
2,16,3.4857142857142858,4.0,9
2,18,3.75,2.0,11
3,0,4.571428571428571,4.0,9
3,2,4.55,4.0,10
3,4,1.7142857142857142,2.0,3
3,6,1.3333333333333333,1.0,3
3,8,4.0,4.0,8
3,10,4.791666666666667,5.0,10
3,12,3.857142857142857,3.5,9
3,14,3.9642857142857144,3.5,10
4,0,1.5,1.5,3
4,2,1.5,1.5,3
4,4,1.4,1.0,3
4,6,7.564102564102564,6.0,17
4,8,8.558823529411764,10.0,16
4,10,3.869565217391304,4.0,9
4,12,4.242424242424242,3.0,10
5,1,3.6363636363636362,4.0,7
5,3,5.2727272727272725,5.0,11
5,5,3.625,4.0,8
5,7,3.625,4.0,8
5,9,3.347826086956522,4.0,8
5,11,7.351851851851852,7.0,18
5,13,4.27027027027027,3.0,11
5,15,3.3181818181818183,3.5,8
5,17,4.0,4.5,9
6,0,9.272727272727273,11.0,18
6,2,19.17721518987342,20.0,34
6,4,1.4,1.0,3
6,6,1.4285714285714286,1.0,3
6,8,3.2777777777777777,3.5,8
6,10,16.010416666666668,17.0,27
6,12,3.588235294117647,4.0,8
6,14,4.4375,3.0,12
7,0,1.5,1.5,3
7,2,1.0,1.0,2
7,4,1.75,1.5,4
7,6,4.628571428571429,4.0,11
7,8,3.0526315789473686,3.0,8
7,10,3.8181818181818183,4.0,9
7,12,3.911764705882353,4.0,11
7,14,4.816326530612245,5.0,13
8,0,1.0,1.0,2
8,2,1.5,1.5,3
8,4,2.2222222222222223,2.0,4
8,6,1.4285714285714286,1.0,3
8,8,1.3333333333333333,1.0,3
8,10,2.0952380952380953,2.0,4
8,12,4.666666666666667,5.0,10
8,14,2.962962962962963,2.0,8
9,1,14.027027027027026,15.0,25
9,3,1.0,1.0,2
9,5,1.3333333333333333,1.0,3
9,7,2.933333333333333,2.0,7
9,9,3.25,2.0,8
9,11,17.178217821782177,16.0,32
9,13,4.555555555555555,4.0,11
9,15,3.9545454545454546,4.0,9
9,17,3.730769230769231,3.5,9
