przeciwnik,czas [warunek petli],srednia czesc eksploracji
AGGRESSIVE,1000,0.9212287506950527
CONTROLLING,1000,0.9162656630656829
RANDOM,1000,0.9132677748699604
AGGRESSIVE,500,0.9251984690487929
CONTROLLING,500,0.9224623965566776
RANDOM,500,0.9028537853676933
AGGRESSIVE,100,0.8932818734289644
CONTROLLING,100,0.9155827952548807
RANDOM,100,0.8473317188453942
