przeciwnik,czas [warunek petli],srednia liczba playoutow
AGGRESSIVE,1000,1194.5896071428572
CONTROLLING,1000,1298.2083127428127
RANDOM,1000,1360.0502103174604
AGGRESSIVE,500,595.8406944444445
CONTROLLING,500,630.9578084415584
RANDOM,500,623.9448445720946
AGGRESSIVE,100,109.01475
CONTROLLING,100,108.12964105339105
RANDOM,100,118.13155414030415
