przeciwnik,czas [warunek petli],mediana glebokosci liscia
AGGRESSIVE,1000,7.338880952380952
CONTROLLING,1000,7.11167051004551
RANDOM,1000,6.9296210317460325
AGGRESSIVE,500,6.248220238095238
CONTROLLING,500,6.22020689033189
RANDOM,500,5.7559499528249525
AGGRESSIVE,100,3.6231309523809525
CONTROLLING,100,3.7245131673881677
RANDOM,100,3.2276704822954825
