przeciwnik,czas [warunek petli],srednia glebokosc liscia
AGGRESSIVE,1000,6.788265211654175
CONTROLLING,1000,6.566846824277264
RANDOM,1000,6.515472536060774
AGGRESSIVE,500,5.709446243050525
CONTROLLING,500,5.685203985317139
RANDOM,500,5.327508821890116
AGGRESSIVE,100,3.3336180797581596
CONTROLLING,100,3.3511601024571434
RANDOM,100,2.995268925431617
