game,move,num_playouts,mean_num_playouts_per_node
0,0,135,6.136363636363637
0,2,9,2.25
0,4,51,2.6842105263157894
0,6,36,2.0
0,8,75,1.875
0,10,151,2.4754098360655736
0,12,319,2.9
0,14,110,2.5
0,16,66,1.346938775510204
0,18,45,1.4516129032258065
1,0,9,2.25
1,2,280,8.0
1,4,9,1.8
1,6,11,1.8333333333333333
1,8,28,3.111111111111111
1,10,45,2.142857142857143
1,12,165,3.0
1,14,199,1.6864406779661016
1,16,62,1.5121951219512195
1,18,68,1.511111111111111
1,20,45,2.0454545454545454
1,22,228,1.5724137931034483
1,24,53,2.0384615384615383
2,0,11,2.2
2,2,7,1.75
2,4,133,4.433333333333334
2,6,50,1.9230769230769231
2,8,40,3.6363636363636362
2,10,53,2.65
2,12,29,2.230769230769231
2,14,14,1.4
3,0,9,2.25
3,2,9,2.25
3,4,11,2.2
3,6,23,1.9166666666666667
3,8,993,7.880952380952381
3,10,29,2.4166666666666665
3,12,254,3.2151898734177213
3,14,230,3.3823529411764706
3,16,78,2.2941176470588234
3,18,280,3.146067415730337
3,20,275,3.5256410256410255
3,22,74,2.242424242424242
3,24,63,1.75
3,26,19,1.4615384615384615
4,1,11,2.2
4,3,16,2.2857142857142856
4,5,56,3.2941176470588234
4,7,85,3.0357142857142856
4,9,76,2.6206896551724137
5,1,275,8.333333333333334
5,3,7,1.75
5,5,326,7.761904761904762
5,7,19,2.7142857142857144
5,9,27,2.25
5,11,91,2.84375
5,13,165,2.357142857142857
5,15,40,2.0
6,0,9,2.25
6,2,16,2.2857142857142856
6,4,18,2.25
6,6,193,4.7073170731707314
6,8,20,2.2222222222222223
6,10,41,1.9523809523809523
6,12,57,1.6764705882352942
6,14,100,2.857142857142857
6,16,36,0.972972972972973
6,18,128,1.9393939393939394
6,20,160,3.076923076923077
6,22,110,2.75
6,24,31,1.4761904761904763
7,1,109,6.411764705882353
7,3,11,2.2
7,5,16,2.6666666666666665
7,7,94,3.357142857142857
7,9,79,1.9268292682926829
7,11,97,2.3658536585365852
7,13,61,2.103448275862069
7,15,38,1.6521739130434783
7,17,102,1.7586206896551724
7,19,66,1.375
7,21,95,2.111111111111111
7,23,26,1.5294117647058822
8,1,9,2.25
8,3,11,2.2
8,5,18,2.25
8,7,41,3.1538461538461537
8,9,57,2.590909090909091
8,11,343,4.830985915492958
8,13,53,1.8275862068965518
8,15,110,1.5942028985507246
8,17,47,2.238095238095238
8,19,32,2.0
9,1,9,2.25
9,3,7,1.75
9,5,57,3.1666666666666665
9,7,43,1.72
9,9,585,4.5
9,11,319,3.625
9,13,201,2.161290322580645
9,15,60,1.3333333333333333
9,17,27,1.4210526315789473
9,19,22,1.5714285714285714
10,0,9,2.25
10,2,87,4.833333333333333
10,4,16,2.2857142857142856
10,6,25,2.5
10,8,53,3.1176470588235294
10,10,66,2.129032258064516
10,12,224,2.574712643678161
10,14,255,1.8613138686131387
10,16,68,2.2666666666666666
10,18,63,2.1
10,20,51,1.9615384615384615
10,22,33,2.0625
10,24,33,2.0625
10,26,28,1.5555555555555556
11,0,59,4.538461538461538
11,2,199,6.419354838709677
11,4,19,2.7142857142857144
11,6,104,4.16
11,8,30,2.5
11,10,50,2.1739130434782608
11,12,92,2.4210526315789473
11,14,85,1.8888888888888888
11,16,541,3.6308724832214767
11,18,282,2.5636363636363635
11,20,112,2.604651162790698
11,22,75,1.171875
11,24,40,1.6
12,0,324,7.2
12,2,71,3.9444444444444446
12,4,115,4.107142857142857
12,6,25,2.7777777777777777
12,8,27,2.25
12,10,76,2.054054054054054
12,12,129,1.5925925925925926
12,14,137,1.611764705882353
12,16,89,1.9777777777777779
12,18,64,1.5609756097560976
13,1,469,10.422222222222222
