game,move,expl_rate
0,0,0.8722222222222222
0,2,1.0
0,4,0.85
0,6,0.8857142857142858
0,8,0.5694444444444444
0,10,0.6168845315904139
0,12,0.5708041958041957
0,14,0.6472222222222221
0,16,0.5390625
0,18,0.7138888888888889
1,0,1.0
1,2,0.8297101449275364
1,4,0.8333333333333334
1,6,0.8333333333333334
1,8,1.0
1,10,0.75
1,12,0.8235294117647058
1,14,0.6888544891640866
1,16,0.704861111111111
1,18,0.5809523809523809
1,20,0.875
1,22,0.7690476190476192
1,24,0.8055555555555557
2,0,1.0
2,2,1.0
2,4,0.7598039215686274
2,6,0.6060606060606061
2,8,1.0
2,10,0.7727272727272727
2,12,0.9166666666666666
2,14,0.7
3,0,1.0
3,2,1.0
3,4,1.0
3,6,0.7777777777777777
3,8,0.6320514111211785
3,10,1.0
3,12,0.5953703703703704
3,14,0.6219169719169718
3,16,0.6703703703703704
3,18,0.5224867724867724
3,20,0.5870600414078675
3,22,0.6291666666666667
3,24,0.5571969696969697
3,26,0.5833333333333334
4,1,1.0
4,3,1.0
4,5,0.9166666666666667
4,7,0.8846153846153846
4,9,0.9375
5,1,0.8575757575757575
5,3,1.0
5,5,0.7708333333333334
5,7,1.0
5,9,0.8
5,11,0.8157894736842105
5,13,0.7151515151515152
5,15,0.7777777777777777
6,0,1.0
6,2,1.0
6,4,0.875
6,6,0.732010582010582
6,8,1.0
6,10,0.75
6,12,0.6136363636363636
6,14,0.6041666666666666
6,16,0.5102040816326531
6,18,0.47984693877551016
6,20,0.6694444444444446
6,22,0.670952380952381
6,24,0.5333333333333333
7,1,0.9230769230769231
7,3,1.0
7,5,1.0
7,7,0.725
7,9,0.6818181818181818
7,11,0.7
7,13,0.6666666666666666
7,15,0.4833333333333334
7,17,0.6614035087719298
7,19,0.6728778467908902
7,21,0.7301587301587301
7,23,0.6666666666666666
8,1,1.0
8,3,1.0
8,5,0.875
8,7,0.8571428571428571
8,9,0.8545454545454546
8,11,0.6345238095238095
8,13,0.625
8,15,0.6112531969309464
8,17,0.8333333333333333
8,19,0.7777777777777777
9,1,1.0
9,3,1.0
9,5,0.8333333333333334
9,7,0.6666666666666666
9,9,0.6511466165413533
9,11,0.6655043674274445
9,13,0.5216428571428572
9,15,0.5198529411764705
9,17,0.5125
9,19,0.7
10,0,1.0
10,2,0.9230769230769231
10,4,0.875
10,6,0.8333333333333334
10,8,1.0
10,10,0.75
10,12,0.7583333333333333
10,14,0.6761363636363636
10,16,0.7777777777777777
10,18,0.9166666666666666
10,20,0.76
10,22,0.875
10,24,0.875
10,26,0.6
11,0,0.9259259259259258
11,2,0.8333333333333334
11,4,1.0
11,6,0.8229166666666667
11,8,0.8571428571428571
11,10,0.8
11,12,0.9578947368421052
11,14,0.7461538461538461
11,16,0.6782350019192125
11,18,0.5767526455026455
11,20,0.6461640211640212
11,22,0.6084812623274162
11,24,0.6428571428571428
12,0,0.7569444444444446
12,2,0.8666666666666668
12,4,0.7333333333333333
12,6,1.0
12,8,0.8333333333333334
12,10,0.7436974789915967
12,12,0.5822981366459627
12,14,0.5924242424242424
12,16,0.6111111111111112
12,18,0.6238636363636363
13,1,0.843103448275862
13,3,0.8045454545454546
13,5,0.8107843137254902
13,7,0.7154135338345864
13,9,0.75
13,11,0.5902777777777777
13,13,0.6007407407407406
13,15,0.5350877192982457
13,17,0.6799999999999999
13,19,0.725
13,21,0.5795454545454546
13,23,0.7
14,1,0.95
14,3,0.8674242424242423
14,5,0.7833333333333333
14,7,0.880952380952381
14,9,0.75
14,11,1.0
15,0,0.880952380952381
15,2,1.0
15,4,1.0
15,6,0.7857142857142857
15,8,0.75
15,10,0.6666666666666666
16,1,0.8787878787878788
16,3,0.9285714285714286
16,5,0.85
16,7,1.0
16,9,1.0
16,11,0.7291666666666667
16,13,0.6077380952380953
16,15,0.6563492063492063
16,17,0.8714285714285713
17,1,0.9487179487179488
17,3,0.8555555555555555
17,5,0.8333333333333334
17,7,1.0
17,9,1.0
17,11,0.911111111111111
17,13,0.7092592592592593
17,15,0.6909090909090909
17,17,0.653921568627451
17,19,0.8186462324393359
17,21,0.7272727272727273
18,1,1.0
18,3,0.9285714285714286
18,5,0.7944444444444444
18,7,1.0
18,9,0.9
18,11,0.78125
18,13,0.6240643893030673
18,15,0.5648926237161531
18,17,0.6084812623274162
18,19,0.5770202020202021
18,21,0.9166666666666666
18,23,0.6493055555555555
18,25,0.7
19,0,1.0
19,2,1.0
19,4,1.0
19,6,0.7916666666666666
19,8,0.8076923076923077
19,10,0.7346153846153846
19,12,0.9682539682539683
19,14,0.4583333333333333
19,16,0.6333333333333333
20,1,0.8235294117647058
20,3,0.8181818181818182
20,5,1.0
20,7,0.9199999999999999
20,9,0.6151556776556777
20,11,0.6266179535787378
20,13,0.6415699024058157
20,15,0.6888888888888889
20,17,0.5294444444444444
20,19,0.5560897435897436
20,21,0.49871031746031746
20,23,0.63
20,25,0.7085714285714285
20,27,0.75
21,1,1.0
21,3,0.7427536231884059
21,5,1.0
21,7,0.8833333333333332
21,9,0.7314814814814814
21,11,0.6506410256410255
21,13,0.5468434343434344
21,15,0.6041666666666666
21,17,0.6188811188811189
21,19,0.6
21,21,0.7
22,1,1.0
22,3,0.8214285714285714
22,5,0.6969841269841269
22,7,0.8125
22,9,0.6666666666666666
22,11,0.6624999999999999
22,13,0.6240740740740741
22,15,0.6969696969696969
22,17,0.8095238095238094
22,19,0.7352941176470589
22,21,0.875
22,23,1.0
22,25,1.0
22,27,0.9166666666666666
22,29,0.875
22,31,0.6666666666666666
23,0,0.8611111111111112
23,2,0.7103499922696352
23,4,0.7945011337868481
23,6,0.7727272727272727
23,8,0.7833333333333333
23,10,0.65
23,12,0.8125
23,14,0.6157894736842104
23,16,0.5333333333333334
23,18,0.6038324420677361
23,20,0.825
23,22,0.8660714285714286
24,0,0.8657407407407407
24,2,0.9444444444444444
24,4,0.8114035087719299
24,6,1.0
24,8,0.6666666666666666
24,10,0.6265151515151515
24,12,0.5855263157894738
24,14,0.576388888888889
24,16,0.537037037037037
24,18,0.8888888888888888
24,20,0.8666666666666666
24,22,0.7294685990338164
24,24,0.7777777777777777
24,26,0.7
25,1,0.9444444444444443
25,3,1.0
25,5,0.9166666666666666
25,7,1.0
25,9,0.6481481481481483
25,11,0.6848739495798319
25,13,0.5994318181818182
25,15,0.7222222222222222
26,0,1.0
26,2,0.7089649421616636
26,4,1.0
26,6,0.75
26,8,1.0
26,10,0.7391304347826086
26,12,0.8333333333333334
26,14,0.8917748917748918
26,16,0.6666666666666666
26,18,0.85
26,20,0.680952380952381
26,22,0.8333333333333334
27,1,0.8425925925925927
27,3,0.6986559139784946
27,5,1.0
27,7,0.7541666666666667
27,9,0.6767676767676767
27,11,0.6333333333333333
27,13,0.611111111111111
27,15,0.9333333333333332
27,17,0.9333333333333332
27,19,1.0
27,21,0.7430555555555555
27,23,0.8333333333333334
27,25,0.75
28,0,1.0
28,2,1.0
28,4,0.7708333333333334
28,6,0.8125
28,8,0.6428571428571429
28,10,0.7777777777777778
28,12,0.5898148148148148
28,14,0.5357142857142858
28,16,0.8
28,18,0.8333333333333333
28,20,0.9037037037037037
28,22,0.9166666666666666
28,24,0.75
29,0,1.0
29,2,1.0
29,4,0.8928571428571429
29,6,1.0
29,8,0.5416666666666667
29,10,0.6060606060606061
29,12,0.8
29,14,0.6952380952380952
29,16,0.619047619047619
29,18,0.6763157894736843
29,20,0.5904761904761903
29,22,0.6666666666666666
29,24,0.75
30,1,0.9259259259259258
30,3,1.0
30,5,0.8
30,7,1.0
30,9,0.8714285714285713
30,11,0.8333333333333334
30,13,0.5696969696969696
30,15,0.8
30,17,0.861111111111111
30,19,1.0
30,21,0.8333333333333333
30,23,0.76
30,25,0.8333333333333333
30,27,0.8888888888888888
31,0,1.0
31,2,1.0
31,4,1.0
31,6,0.8333333333333334
31,8,0.55
31,10,0.665079365079365
31,12,0.39230769230769236
31,14,0.6284722222222222
31,16,0.7
32,1,0.8571428571428571
32,3,1.0
32,5,0.8125
32,7,0.8
32,9,0.7333333333333333
32,11,0.6515151515151515
32,13,0.8571428571428571
32,15,0.6324134199134199
32,17,0.7
32,19,0.6785714285714286
32,21,0.7
33,0,0.9166666666666666
33,2,1.0
33,4,0.6833333333333333
33,6,0.875
33,8,0.8
33,10,0.84375
33,12,0.9
33,14,0.9166666666666666
33,16,0.9
33,18,0.8888888888888888
34,0,1.0
34,2,1.0
34,4,0.7575757575757575
34,6,0.798611111111111
34,8,0.7777777777777778
34,10,0.4666666666666667
34,12,0.6488095238095238
34,14,0.6722222222222222
34,16,0.6393229166666666
34,18,0.875
34,20,0.7467105263157895
34,22,0.6666666666666666
35,1,1.0
35,3,1.0
35,5,1.0
35,7,0.65
35,9,1.0
35,11,1.0
35,13,1.0
36,1,1.0
36,3,1.0
36,5,1.0
36,7,0.7022556390977442
36,9,0.6320023148148147
36,11,0.6757575757575758
36,13,0.8181818181818182
36,15,0.8333333333333333
37,0,1.0
37,2,1.0
37,4,0.9444444444444445
37,6,0.8205128205128205
37,8,0.7954545454545454
37,10,1.0
37,12,0.9166666666666666
37,14,0.8
37,16,0.8333333333333333
37,18,1.0
37,20,0.9444444444444443
37,22,1.0
37,24,1.0
37,26,0.9166666666666666
37,28,0.8333333333333333
37,30,0.9333333333333332
38,0,0.875
38,2,1.0
38,4,0.7675657675657676
38,6,0.8
38,8,0.704
38,10,0.6470588235294118
38,12,0.767691798941799
38,14,0.9166666666666666
38,16,0.861111111111111
38,18,0.8888888888888888
38,20,1.0
38,22,0.9166666666666666
38,24,0.8666666666666666
38,26,0.875
38,28,1.0
38,30,0.9444444444444443
39,0,1.0
39,2,1.0
39,4,1.0
39,6,1.0
39,8,0.75
39,10,0.7333333333333333
39,12,0.6583333333333333
39,14,0.7619047619047619
39,16,0.7462962962962962
39,18,0.9166666666666666
39,20,0.8333333333333333
39,22,0.8333333333333333
40,0,1.0
40,2,1.0
40,4,1.0
40,6,0.8
40,8,0.6971014492753622
40,10,0.7142857142857143
40,12,0.7619047619047619
40,14,0.6029411764705882
40,16,0.625
40,18,0.5470238095238095
40,20,0.5511363636363636
40,22,0.4941724941724942
40,24,0.6666666666666666
41,0,1.0
41,2,1.0
41,4,0.8819444444444443
41,6,0.890625
41,8,0.8571428571428571
41,10,0.8333333333333333
41,12,0.8888888888888888
41,14,0.7153846153846154
41,16,0.6666666666666666
42,0,0.7545918367346938
42,2,0.8310810810810811
42,4,0.8333333333333334
42,6,0.8671679197994987
42,8,0.9298245614035089
42,10,0.7142857142857143
42,12,0.619047619047619
42,14,0.6238095238095237
42,16,0.7881944444444444
42,18,0.6666666666666666
43,0,1.0
43,2,1.0
43,4,1.0
43,6,0.7307692307692307
43,8,0.8333333333333334
43,10,1.0
43,12,0.75
43,14,0.736111111111111
43,16,0.7222222222222222
44,0,1.0
44,2,0.9166666666666666
44,4,0.7386363636363636
44,6,0.7205882352941176
44,8,0.7012820512820513
44,10,0.6951754385964911
44,12,0.674074074074074
44,14,0.55
44,16,0.6956521739130435
44,18,0.4877777777777778
44,20,0.8043478260869565
44,22,0.8
44,24,0.7777777777777777
44,26,0.7619047619047619
44,28,0.8888888888888888
44,30,1.0
45,0,0.8133333333333335
45,2,1.0
45,4,1.0
45,6,0.7702380952380953
45,8,0.4833333333333334
45,10,0.5972222222222222
45,12,0.5347222222222222
45,14,0.6666666666666666
46,1,1.0
46,3,1.0
46,5,0.7278138528138528
46,7,0.6444444444444444
46,9,0.50625
46,11,0.5126190476190475
46,13,0.5316326530612245
47,1,0.7625496031746032
47,3,1.0
47,5,1.0
47,7,0.8095238095238094
47,9,0.7840909090909091
47,11,0.5324074074074074
47,13,0.5692176870748299
47,15,0.43125
47,17,0.5501729751729751
47,19,0.434375
47,21,0.8
48,1,1.0
48,3,0.875
48,5,0.8541666666666666
48,7,0.8645833333333333
48,9,0.7708333333333333
48,11,0.6893939393939393
48,13,0.5827991452991453
48,15,0.5996212121212121
48,17,0.6636363636363637
48,19,0.7034722222222222
49,1,1.0
49,3,1.0
49,5,0.7416863439590713
49,7,0.75
49,9,0.6630952380952381
49,11,0.5333333333333333
49,13,0.5322916666666666
49,15,0.5929038281979458
49,17,0.5845378749790514
49,19,0.5519607843137254
49,21,0.6206666666666667
49,23,0.7777777777777777
49,25,0.8409090909090908
50,0,0.7248148148148148
50,2,0.8425925925925926
50,4,0.7322222222222222
50,6,0.6427083333333333
50,8,0.6666666666666666
50,10,0.528125
50,12,0.5527777777777778
50,14,0.5666666666666667
50,16,0.7361111111111112
50,18,0.8179012345679012
50,20,0.5226851851851851
50,22,0.7
51,0,0.9166666666666666
51,2,1.0
51,4,0.8
51,6,0.8402777777777777
51,8,0.8
51,10,0.7142857142857143
51,12,0.75
51,14,0.8066666666666666
51,16,0.8399999999999999
51,18,0.7555432372505542
51,20,0.7768595041322314
52,0,0.9166666666666666
52,2,1.0
52,4,1.0
52,6,1.0
52,8,0.8333333333333333
52,10,0.875
52,12,0.6888888888888889
52,14,0.5555555555555556
52,16,0.8333333333333334
52,18,1.0
53,1,0.875
53,3,0.7427083333333333
53,5,0.8125
53,7,0.5833333333333334
53,9,0.7222222222222222
53,11,0.5833333333333334
53,13,1.0
54,1,0.7777777777777779
54,3,0.8333333333333334
54,5,1.0
54,7,0.6948412698412697
54,9,0.625
54,11,0.6186507936507936
54,13,0.5972222222222222
54,15,0.7546296296296295
54,17,0.6169590643274854
54,19,0.6363636363636364
54,21,0.7253086419753086
54,23,0.5738095238095238
54,25,0.7537037037037037
54,27,0.8061224489795917
54,29,0.7208333333333333
55,1,0.9166666666666666
55,3,0.8541666666666667
55,5,0.7777777777777777
55,7,0.6437797619047617
55,9,0.6428571428571429
55,11,0.5185185185185185
55,13,0.6027777777777777
55,15,0.7125
55,17,0.5321428571428571
55,19,0.5520833333333333
55,21,0.7083333333333333
56,1,1.0
56,3,0.8214285714285714
56,5,0.7333333333333333
56,7,0.7642361111111111
56,9,0.8928571428571428
56,11,0.8989898989898989
56,13,0.8571428571428571
56,15,0.8106060606060607
56,17,0.7277777777777779
56,19,0.7444444444444445
56,21,0.9
57,0,1.0
57,2,1.0
57,4,0.7873015873015874
57,6,0.7179487179487178
57,8,0.725
57,10,0.7220065562456865
57,12,0.6416666666666666
57,14,0.6341991341991342
57,16,0.8928571428571428
57,18,0.75
57,20,0.7174688057040999
57,22,0.6771241830065359
57,24,0.5
58,1,1.0
58,3,0.7147478647478647
58,5,0.8291666666666666
58,7,0.6481884057971015
58,9,0.6041666666666666
58,11,0.6785714285714286
58,13,0.7777777777777777
58,15,0.9333333333333332
58,17,0.8444444444444444
58,19,0.8888888888888888
58,21,0.7857142857142857
58,23,0.75
59,1,0.8571428571428571
59,3,0.8333333333333334
59,5,0.8629629629629628
59,7,1.0
59,9,0.7254901960784313
59,11,0.8
59,13,0.8333333333333334
60,0,1.0
60,2,1.0
60,4,1.0
60,6,1.0
60,8,0.9166666666666666
60,10,0.8384615384615385
60,12,0.8541666666666666
60,14,0.7428667823404665
60,16,0.5897435897435898
60,18,0.5731481481481481
60,20,0.5538461538461538
60,22,0.5018707482993198
60,24,0.475
61,1,1.0
61,3,0.7222222222222222
61,5,0.9
61,7,1.0
61,9,0.7361111111111112
61,11,0.9166666666666667
61,13,0.6937500000000001
61,15,0.75
62,1,1.0
62,3,0.8333333333333334
62,5,0.7384615384615384
62,7,0.7347826086956522
62,9,0.8541666666666666
62,11,0.8699999999999999
62,13,0.6571583178726037
62,15,0.5555555555555556
62,17,0.8333333333333333
63,0,1.0
63,2,1.0
63,4,0.8373015873015872
63,6,0.6333333333333332
63,8,0.6428571428571429
63,10,0.6535087719298245
63,12,0.6683809523809523
63,14,0.6666666666666666
63,16,0.5833333333333333
64,0,0.8611111111111112
64,2,1.0
64,4,0.8472222222222222
64,6,0.6666666666666666
64,8,0.7777777777777777
64,10,0.6666666666666666
64,12,0.7053921568627451
64,14,0.599922360248447
64,16,0.6805555555555557
64,18,0.7082644628099174
64,20,0.7584033613445378
65,1,0.8076923076923077
65,3,0.7555555555555556
65,5,0.6858974358974359
65,7,0.7736111111111111
65,9,0.6482456140350877
65,11,0.7777777777777778
65,13,0.7692307692307693
65,15,0.75
65,17,0.6883116883116883
65,19,0.5955882352941176
65,21,0.9388888888888888
65,23,0.868131868131868
66,1,0.7796626984126985
66,3,0.7916666666666667
66,5,0.7298245614035087
66,7,0.8333333333333334
66,9,0.7333333333333333
66,11,0.6129629629629628
66,13,0.5
66,15,0.6123188405797102
66,17,0.682672311348782
66,19,0.5934873949579832
66,21,0.7
67,1,0.888888888888889
67,3,0.8125
67,5,0.8333333333333334
67,7,0.7777777777777777
67,9,0.8333333333333334
67,11,0.6587719298245612
67,13,0.6506666666666666
67,15,0.6516777269260107
67,17,0.625
67,19,0.7908163265306122
67,21,0.7371794871794872
67,23,0.7705026455026455
68,1,0.9523809523809523
68,3,1.0
68,5,0.7420634920634921
68,7,0.7631578947368421
68,9,0.7683106575963718
68,11,0.7245535714285714
68,13,0.7678571428571428
68,15,0.760170330758566
68,17,0.7693602693602694
68,19,0.7596153846153846
68,21,0.5933372183372183
68,23,0.5686274509803922
68,25,1.0
69,1,0.8269230769230769
69,3,0.8214285714285714
69,5,0.7158456486042692
69,7,0.6740196078431372
69,9,0.7777777777777778
69,11,0.6384920634920634
69,13,0.4865384615384615
69,15,0.6477272727272727
69,17,0.75
69,19,0.76
69,21,0.8333333333333334
69,23,0.8333333333333333
69,25,0.9166666666666666
69,27,0.6666666666666666
70,0,1.0
70,2,1.0
70,4,1.0
70,6,0.8504901960784313
70,8,0.6666666666666666
70,10,0.7333333333333333
70,12,0.675
70,14,0.6122408293460925
70,16,0.6064102564102564
70,18,0.7222222222222222
71,0,1.0
71,2,0.8589743589743589
71,4,1.0
71,6,0.9
71,8,1.0
71,10,0.8039215686274509
71,12,0.9333333333333332
71,14,1.0
71,16,1.0
72,1,1.0
72,3,0.8571428571428571
72,5,0.7916666666666666
72,7,0.9047619047619048
72,9,1.0
72,11,0.6507936507936508
