game,move,num_playouts,mean_num_playouts_per_node
0,0,512,8.677966101694915
0,2,525,5.965909090909091
0,4,538,4.5210084033613445
0,6,542,4.554621848739496
0,8,542,4.40650406504065
0,10,587,3.1390374331550803
1,0,514,6.8533333333333335
1,2,514,6.7631578947368425
1,4,502,5.905882352941177
1,6,531,6.103448275862069
1,8,539,4.491666666666666
2,0,510,8.095238095238095
2,2,494,9.148148148148149
2,4,513,8.274193548387096
2,6,525,5.048076923076923
2,8,532,4.666666666666667
2,10,538,4.138461538461539
2,12,542,3.2650602409638556
3,1,505,11.477272727272727
3,3,506,10.76595744680851
3,5,507,9.053571428571429
3,7,231,4.62
4,0,515,6.866666666666666
4,2,509,7.271428571428571
4,4,517,5.942528735632184
4,6,521,6.27710843373494
4,8,521,5.853932584269663
4,10,536,5.203883495145631
5,1,510,6.7105263157894735
5,3,521,5.988505747126437
5,5,525,4.646017699115045
5,7,539,4.178294573643411
5,9,544,4.459016393442623
6,1,513,9.327272727272728
6,3,518,7.095890410958904
6,5,517,5.559139784946237
6,7,521,6.2023809523809526
6,9,532,3.41025641025641
7,1,499,11.340909090909092
7,3,515,7.686567164179104
7,5,516,5.375
7,7,518,5.56989247311828
7,9,541,4.037313432835821
7,11,565,3.4242424242424243
8,0,520,7.222222222222222
8,2,518,6.7272727272727275
8,4,531,5.363636363636363
8,6,533,4.368852459016393
8,8,573,2.879396984924623
8,10,576,2.704225352112676
9,0,516,9.381818181818181
9,2,516,7.166666666666667
9,4,541,5.945054945054945
9,6,539,4.083333333333333
9,8,537,4.007462686567164
9,10,610,2.186379928315412
10,1,517,7.492753623188406
10,3,517,6.8933333333333335
10,5,507,7.455882352941177
10,7,521,5.009615384615385
10,9,549,4.255813953488372
10,11,551,4.206106870229007
11,1,503,8.982142857142858
11,3,504,7.636363636363637
11,5,519,5.766666666666667
11,7,532,5.267326732673268
11,9,536,3.458064516129032
11,11,572,2.948453608247423
11,13,572,2.3734439834024896
12,1,495,12.375
12,3,504,8.0
12,5,521,6.5125
12,7,527,5.166666666666667
12,9,542,4.1692307692307695
12,11,631,2.990521327014218
12,13,552,3.6556291390728477
13,0,527,8.107692307692307
13,2,523,5.747252747252747
13,4,527,5.377551020408164
13,6,534,4.107692307692307
13,8,553,4.0661764705882355
13,10,214,3.057142857142857
14,0,506,7.552238805970149
14,2,520,7.123287671232877
14,4,525,5.645161290322581
14,6,520,6.190476190476191
14,8,521,6.2023809523809526
14,10,536,3.4805194805194803
14,12,595,2.5
15,0,513,8.274193548387096
15,2,505,8.278688524590164
15,4,521,5.920454545454546
15,6,528,4.672566371681416
15,8,550,4.365079365079365
15,10,564,2.5405405405405403
15,12,613,2.919047619047619
16,1,502,9.471698113207546
16,3,506,7.228571428571429
16,5,516,5.108910891089109
16,7,528,4.363636363636363
16,9,539,4.178294573643411
16,11,624,2.736842105263158
17,1,514,7.449275362318841
17,3,520,5.048543689320389
17,5,545,3.8652482269503547
17,7,573,2.5353982300884956
17,9,535,4.692982456140351
17,11,635,2.8863636363636362
18,0,518,7.095890410958904
18,2,506,7.7846153846153845
18,4,504,7.304347826086956
18,6,522,4.660714285714286
