game,move,expl_rate
0,0,0.9705882352941176
0,2,0.929
0,4,0.8317307692307694
0,6,0.9908675799086757
0,8,0.9571428571428572
0,10,0.7587064676616917
1,0,0.9673469387755104
1,2,0.963265306122449
1,4,0.9027355623100305
1,6,0.9811320754716981
1,8,0.83641975308642
2,0,0.9722222222222222
2,2,0.9651162790697675
2,4,1.0
2,6,0.9153005464480874
2,8,0.9404761904761906
2,10,0.9279279279279278
2,12,0.8970588235294118
3,1,1.0
3,3,1.0
3,5,0.9833333333333334
3,7,0.9193548387096774
4,0,1.0
4,2,0.9548611111111112
4,4,0.9482758620689655
4,6,0.9567901234567903
4,8,0.9655172413793104
4,10,0.8848484848484848
5,1,0.9432624113475176
5,3,0.9281045751633986
5,5,0.9577625570776256
5,7,0.8388888888888889
5,9,0.9714285714285714
6,1,0.9619047619047618
6,3,1.0
6,5,0.9444444444444445
6,7,0.9396501457725948
6,9,0.8925925925925925
7,1,0.9898989898989901
7,3,0.9891304347826086
7,5,0.9350574712643678
7,7,0.9596491228070176
7,9,0.8898809523809524
7,11,0.9269943019943021
8,0,0.9412393162393163
8,2,0.9313725490196079
8,4,0.8843537414965985
8,6,0.9092039800995024
8,8,0.6676282051282052
8,10,0.6436781609195402
9,0,0.9959677419354839
9,2,0.9866666666666667
9,4,0.9507575757575758
9,6,0.9533333333333334
9,8,0.8700980392156864
9,10,0.6187878787878787
10,1,0.9897959183673469
10,3,0.9705882352941176
10,5,0.9733333333333333
10,7,0.912568306010929
10,9,0.991111111111111
10,11,0.9866666666666667
11,1,0.9593495934959351
11,3,0.9333333333333333
11,5,0.9723163841807909
11,7,0.9758064516129032
11,9,0.9325396825396827
11,11,0.7187499999999999
11,13,0.5546875
12,1,1.0
12,3,0.9469696969696968
12,5,0.95
12,7,0.8820754716981132
12,9,0.9153846153846154
12,11,0.7076023391812866
12,13,0.9521857923497268
13,0,0.9612068965517241
13,2,0.9217948717948719
13,4,0.9287878787878787
13,6,0.8952020202020201
13,8,0.9049636803874093
13,10,0.8052083333333334
14,0,0.9711246200607904
14,2,0.9710884353741497
14,4,0.9689265536723164
14,6,0.9326923076923077
14,8,0.9722222222222222
14,10,0.9086757990867578
14,12,0.6342261904761904
15,0,1.0
15,2,1.0
15,4,0.965
15,6,0.918032786885246
15,8,0.9327956989247312
15,10,0.5793010752688171
15,12,0.8081632653061228
16,1,0.9615384615384616
16,3,0.9566666666666667
16,5,0.9127604166666667
16,7,0.9253731343283582
16,9,0.8516666666666667
16,11,0.6311475409836066
17,1,0.9325396825396824
17,3,0.9373809523809523
17,5,0.8401639344262296
17,7,0.5805084745762712
17,9,0.9346153846153847
17,11,0.6692307692307693
18,0,0.9897959183673469
18,2,0.9897959183673469
18,4,0.965
18,6,0.9140873015873016
18,8,0.8536036036036039
18,10,0.9722222222222222
18,12,0.771551724137931
19,1,0.9878048780487805
19,3,0.967391304347826
19,5,0.9539007092198583
19,7,0.8814102564102563
19,9,0.9850746268656716
20,1,0.9169172932330827
20,3,0.9782608695652174
20,5,0.9590643274853801
20,7,0.9655172413793104
20,9,1.0
21,0,0.9264705882352942
21,2,0.9444444444444444
21,4,0.9386666666666668
21,6,0.880952380952381
21,8,0.9183673469387755
21,10,0.9106280193236715
21,12,0.6929012345679013
21,14,0.9642857142857143
22,1,0.9166666666666667
22,3,0.9444444444444445
22,5,0.9741379310344828
22,7,0.8779761904761905
22,9,0.8000000000000002
23,0,0.941358024691358
23,2,0.97
23,4,0.9791666666666665
23,6,0.8844086021505376
23,8,0.8823529411764707
24,0,0.9807692307692307
24,2,1.0
24,4,1.0
24,6,0.99
24,8,0.9233333333333335
24,10,0.8771929824561402
24,12,0.7976190476190476
24,14,0.5976608187134501
25,1,0.9821428571428571
25,3,0.9545454545454546
25,5,0.9375
25,7,0.9398148148148149
25,9,0.9466666666666667
25,11,0.6111111111111112
26,0,1.0
26,2,0.9224806201550388
26,4,0.9642857142857143
26,6,0.9265536723163842
26,8,0.9365079365079364
26,10,0.8474576271186441
26,12,0.6537356321839082
27,1,0.9666666666666666
27,3,0.9387537993920971
27,5,0.8876436781609194
27,7,0.7588652482269503
27,9,0.8394123606889564
27,11,0.8195121951219514
28,1,1.0
28,3,0.9625
28,5,0.9738095238095238
28,7,0.8545751633986929
28,9,0.9239766081871345
28,11,0.7447916666666667
29,1,1.0
29,3,0.9465408805031448
29,5,0.9524390243902439
29,7,0.8388888888888889
29,9,0.9022988505747125
29,11,0.548611111111111
30,1,0.9868421052631579
30,3,0.9261904761904762
30,5,0.967741935483871
30,7,0.8764044943820225
31,1,0.9520833333333334
31,3,0.9423076923076924
31,5,0.9285714285714286
31,7,0.853233830845771
31,9,0.956140350877193
31,11,0.7373626373626374
32,0,0.936936936936937
32,2,0.9339622641509434
32,4,0.8879155435759208
32,6,0.9259259259259258
32,8,0.7976190476190474
32,10,0.6588235294117648
33,1,0.967948717948718
33,3,0.9632768361581922
33,5,0.9191919191919191
33,7,0.9333333333333333
33,9,0.8849206349206349
34,1,0.9623015873015874
34,3,0.9717514124293786
34,5,0.9333333333333333
34,7,0.9666666666666667
34,9,0.9487179487179487
35,1,0.9772727272727273
35,3,0.9791666666666666
35,5,0.9270833333333331
35,7,0.8848484848484847
35,9,0.8233333333333333
35,11,0.8678571428571427
35,13,0.9850877192982457
36,0,0.9916666666666668
36,2,1.0
36,4,0.8888888888888888
36,6,0.9326923076923077
36,8,0.9246575342465754
36,10,0.8645833333333333
37,0,0.9159090909090909
37,2,0.9341397849462366
37,4,0.9295774647887324
37,6,0.9591503267973855
37,8,0.881205673758865
37,10,0.9078431372549021
37,12,0.8968253968253967
37,14,0.808080808080808
37,16,0.8708920187793427
38,0,0.9883720930232558
38,2,0.8828990715783168
38,4,0.8839285714285713
38,6,0.8349358974358974
38,8,0.8297872340425532
38,10,0.6393678160919539
38,12,0.8214285714285714
38,14,1.0
38,16,0.7000000000000001
39,1,0.9642857142857143
39,3,0.9572649572649573
39,5,0.9563492063492063
39,7,0.8777777777777778
39,9,1.0
40,1,0.9680851063829787
40,3,0.9561403508771931
40,5,0.9743589743589745
40,7,0.9183006535947712
40,9,0.7841530054644806
40,11,0.930612244897959
41,0,0.9615384615384616
41,2,0.9761904761904762
41,4,0.937984496124031
41,6,0.9033333333333334
41,8,0.8128654970760234
41,10,0.8737373737373735
41,12,0.9851190476190476
41,14,0.8333333333333331
42,0,0.9864864864864865
42,2,0.9460784313725492
42,4,0.9263565891472867
42,6,0.9318059299191374
42,8,0.8266129032258066
42,10,0.7978142076502733
42,12,0.49772727272727263
42,14,0.5074626865671638
43,0,0.9871794871794872
43,2,0.9592592592592593
43,4,0.9601449275362318
43,6,0.8765432098765431
43,8,0.8269230769230771
43,10,0.9452380952380952
43,12,0.884
44,0,0.9605263157894737
44,2,0.9851851851851853
44,4,0.9431216931216931
44,6,0.8862068965517242
44,8,0.9517543859649124
44,10,0.7291666666666666
45,0,0.9736842105263158
45,2,1.0
45,4,0.9666666666666667
45,6,0.9123563218390806
45,8,0.8968253968253969
45,10,0.8333333333333335
45,12,0.9430555555555554
46,0,0.95
46,2,0.9077507598784194
46,4,0.95
46,6,0.9342757936507936
46,8,0.9900793650793651
46,10,0.9827586206896551
46,12,0.9753086419753086
47,0,0.9184397163120568
47,2,0.9416666666666665
47,4,0.9654088050314467
47,6,0.9678362573099415
47,8,0.971830985915493
47,10,0.6864406779661016
47,12,0.6578431372549022
48,1,0.9058823529411765
48,3,0.9821428571428571
48,5,0.8671875000000001
48,7,0.9864864864864865
49,0,1.0
49,2,0.9893617021276596
