Player1_strategy,Player1_wins,Player2_wins,Player2_strategy,mcts_time,mean_time_per_game
AGGRESSIVE,72,28,MCTS,1000,0 days 00:02:40.563653000
CONTROLLING,66,34,MCTS,1000,0 days 00:03:15.881304000
RANDOM,1,99,MCTS,1000,0 days 00:03:35.128712871287
AGGRESSIVE,78,22,MCTS,500,0 days 00:01:54.165525000
CONTROLLING,75,25,MCTS,500,0 days 00:02:01.450542000
RANDOM,15,85,MCTS,500,0 days 00:02:31.996403000
AGGRESSIVE,97,3,MCTS,100,0 days 00:00:35.726091000
CONTROLLING,96,4,MCTS,100,0 days 00:00:34.583233000
RANDOM,54,46,MCTS,100,0 days 00:01:03.663400000
