game,move,expl_rate
0,1,0.9333333333333333
0,3,0.890625
0,5,0.9318181818181818
0,7,0.9347826086956522
0,9,1.0
0,11,0.9615384615384616
1,0,0.8666666666666667
1,2,0.8823529411764706
1,4,0.9814814814814814
1,6,0.9607843137254903
1,8,0.8627450980392157
1,10,0.9444444444444444
1,12,0.9222222222222223
1,14,1.0
2,0,0.9214285714285715
2,2,0.8518518518518517
2,4,0.9
2,6,0.9
2,8,0.8625
2,10,0.9821428571428571
2,12,0.9615384615384616
3,0,1.0
3,2,0.9642857142857143
3,4,0.9375
3,6,0.8777777777777779
3,8,0.9117647058823528
3,10,0.8859649122807017
3,12,0.7807017543859648
4,1,1.0
4,3,0.9117647058823529
4,5,0.9264705882352942
4,7,0.875
4,9,0.9523809523809523
4,11,1.0
4,13,0.8846153846153846
4,15,0.78125
5,0,0.9583333333333334
5,2,0.925925925925926
5,4,0.9385964912280701
5,6,0.9605263157894737
5,8,0.9285714285714286
5,10,0.9444444444444444
5,12,0.86875
5,14,0.9500000000000001
5,16,1.0
6,1,0.9047619047619049
6,3,0.9333333333333333
6,5,0.9473684210526315
6,7,0.925925925925926
6,9,0.875
6,11,0.9583333333333334
6,13,0.8727272727272726
7,0,1.0
7,2,0.9313725490196079
7,4,0.9666666666666666
7,6,1.0
7,8,0.9642857142857143
7,10,0.8235294117647058
7,12,0.5989583333333334
7,14,0.9532163742690059
7,16,0.85
7,18,0.7755102040816326
7,20,0.8152173913043478
8,1,0.8571428571428573
8,3,0.9571428571428572
8,5,0.8771929824561404
8,7,0.8214285714285714
8,9,0.890625
9,1,0.8974358974358974
9,3,0.9222222222222222
9,5,0.9642857142857143
9,7,0.9166666666666666
9,9,0.95
9,11,0.9882352941176471
9,13,0.96875
9,15,0.8142857142857142
10,1,1.0
10,3,0.9285714285714286
10,5,1.0
10,7,0.8888888888888888
11,0,0.921875
11,2,1.0
11,4,0.9285714285714286
11,6,0.8461538461538461
11,8,1.0
12,1,0.9166666666666666
12,3,0.9375
12,5,0.9411764705882353
12,7,0.8854166666666666
12,9,0.8833333333333333
12,11,1.0
12,13,1.0
13,1,0.9722222222222222
13,3,0.9117647058823529
13,5,0.9473684210526315
13,7,0.88
13,9,0.9615384615384616
14,1,0.9722222222222222
14,3,0.9666666666666667
14,5,0.8266666666666667
14,7,0.8529411764705882
14,9,0.857142857142857
14,11,0.9710144927536233
15,0,0.9333333333333333
15,2,0.9705882352941176
15,4,0.9464285714285714
15,6,0.8541666666666667
15,8,0.8538461538461538
15,10,1.0
15,12,0.5989583333333335
15,14,0.7153846153846154
16,1,0.9642857142857143
16,3,0.9777777777777777
16,5,0.7955555555555556
16,7,0.9642857142857143
16,9,0.9166666666666666
16,11,0.8421052631578947
16,13,0.84375
17,0,0.9230769230769231
17,2,1.0
17,4,0.9166666666666666
17,6,1.0
17,8,0.9313725490196079
17,10,0.9473684210526315
17,12,1.0
17,14,0.9833333333333333
17,16,0.9615384615384616
18,1,0.9444444444444445
18,3,0.9375
18,5,0.9
18,7,0.875
18,9,0.7840909090909091
18,11,0.9375
19,0,0.9615384615384616
19,2,0.9807692307692307
19,4,0.862142857142857
19,6,0.8125
19,8,0.85
19,10,0.9751552795031055
19,12,0.9821428571428571
19,14,0.6818181818181819
19,16,0.9615384615384616
20,0,1.0
20,2,1.0
20,4,0.8533333333333334
20,6,0.9411764705882352
20,8,0.9
20,10,0.9607843137254903
20,12,0.9458333333333332
20,14,0.9351851851851853
20,16,0.8214285714285714
20,18,0.6461538461538461
21,0,0.9666666666666667
21,2,1.0
21,4,0.9285714285714286
21,6,0.8666666666666667
21,8,0.8
21,10,0.9333333333333332
21,12,0.87
22,0,0.8571428571428571
22,2,0.96875
22,4,0.9074074074074076
22,6,0.85
22,8,0.8333333333333333
22,10,0.8461538461538461
22,12,0.9166666666666666
22,14,0.9375
22,16,0.9285714285714286
22,18,0.859375
22,20,0.8444444444444444
23,1,0.8717948717948717
23,3,0.8
23,5,0.8205128205128205
23,7,0.8777777777777779
23,9,0.9583333333333334
23,11,0.9722222222222222
23,13,0.8771929824561404
24,0,1.0
24,2,0.9666666666666666
24,4,1.0
24,6,1.0
24,8,0.9166666666666666
24,10,0.8958333333333334
24,12,0.9215686274509804
24,14,0.96875
25,0,1.0
25,2,1.0
25,4,0.9444444444444445
25,6,0.96875
25,8,0.9444444444444444
25,10,0.9772727272727273
25,12,0.97
26,1,0.9285714285714286
26,3,1.0
26,5,0.9607843137254901
26,7,0.9027777777777778
26,9,0.9444444444444444
26,11,1.0
26,13,0.9230769230769231
26,15,0.7826086956521737
27,0,0.9555555555555555
27,2,1.0
27,4,0.9222222222222222
27,6,0.8928571428571429
27,8,0.9411764705882353
27,10,0.9629629629629631
27,12,0.8333333333333334
27,14,0.982456140350877
27,16,0.8416666666666667
27,18,0.8695652173913042
27,20,0.5
28,1,1.0
28,3,1.0
28,5,0.8928571428571429
28,7,0.9
28,9,0.8680555555555556
28,11,0.9038461538461539
28,13,0.8928571428571429
28,15,0.8055555555555555
29,1,0.9615384615384616
29,3,0.9722222222222223
29,5,0.9666666666666667
29,7,0.9375
29,9,0.9444444444444444
30,0,0.9666666666666667
30,2,1.0
30,4,1.0
30,6,0.9579831932773109
30,8,0.8750000000000001
30,10,0.8636363636363636
30,12,0.9861111111111112
30,14,0.9473684210526315
30,16,0.898550724637681
31,0,0.9487179487179488
31,2,1.0
31,4,0.9166666666666666
31,6,0.9411764705882353
31,8,0.7982456140350876
31,10,1.0
31,12,0.9444444444444444
31,14,0.7485380116959063
32,0,1.0
32,2,0.9583333333333334
32,4,0.9166666666666666
32,6,0.8622222222222222
32,8,0.9529411764705882
32,10,0.7083333333333334
32,12,1.0
32,14,0.8787878787878789
33,0,0.9615384615384616
33,2,0.9166666666666666
33,4,0.9583333333333334
33,6,0.9821428571428571
33,8,0.8888888888888888
33,10,0.9523809523809523
33,12,0.9444444444444444
33,14,0.9166666666666666
33,16,0.9305555555555556
33,18,0.8916666666666666
33,20,0.96875
33,22,0.8809523809523808
34,1,0.9166666666666666
34,3,0.9375
34,5,1.0
34,7,0.9
34,9,0.8266666666666667
34,11,0.8289473684210527
34,13,0.780701754385965
35,0,0.9545454545454546
35,2,0.9791666666666666
35,4,0.9499999999999998
35,6,0.9199999999999999
35,8,0.8470588235294118
35,10,0.7083333333333334
35,12,0.6333333333333333
35,14,0.8533834586466166
35,16,1.0
36,0,1.0
36,2,0.9230769230769231
36,4,1.0
36,6,0.9222222222222223
36,8,0.9464285714285714
36,10,0.9411764705882353
36,12,1.0
37,0,0.96875
37,2,1.0
37,4,0.9047619047619049
37,6,1.0
37,8,0.9122807017543859
37,10,0.922222222222222
37,12,0.9166666666666666
37,14,0.7884615384615384
37,16,0.35000000000000014
37,18,0.94
38,1,0.9444444444444445
38,3,1.0
38,5,0.925925925925926
38,7,0.9464285714285714
38,9,0.9027777777777778
38,11,1.0
38,13,0.756578947368421
39,1,0.9114583333333334
39,3,0.95
