game,move,num_playouts,mean_num_playouts_per_node
0,1,105,4.375
0,3,110,3.0555555555555554
0,5,107,3.057142857142857
0,7,106,2.9444444444444446
0,9,106,3.212121212121212
0,11,112,2.6666666666666665
1,0,102,3.5172413793103448
1,2,102,3.5172413793103448
1,4,117,3.0
1,6,104,3.586206896551724
1,8,102,3.5172413793103448
1,10,110,3.3333333333333335
1,12,112,2.9473684210526314
1,14,114,3.257142857142857
2,0,102,3.923076923076923
2,2,107,3.057142857142857
2,4,102,3.4
2,6,105,3.1818181818181817
2,8,108,2.5714285714285716
2,10,129,2.8043478260869565
2,12,111,2.707317073170732
3,0,99,4.95
3,2,102,5.1
3,4,102,4.08
3,6,109,3.7586206896551726
3,8,111,3.3636363636363638
3,10,110,3.0555555555555554
3,12,109,1.981818181818182
4,1,96,6.0
4,3,102,3.923076923076923
4,5,109,3.1142857142857143
4,7,108,3.6
4,9,108,3.272727272727273
4,11,122,3.05
4,13,111,3.0
4,15,107,2.018867924528302
5,0,114,3.8
5,2,103,3.433333333333333
5,4,103,3.5517241379310347
5,6,105,3.5
5,8,98,4.9
5,10,107,3.566666666666667
5,12,111,2.9210526315789473
5,14,113,2.627906976744186
5,16,213,5.756756756756757
6,1,97,4.619047619047619
6,3,102,4.08
6,5,100,3.8461538461538463
6,7,109,3.2058823529411766
6,9,109,2.7948717948717947
6,11,110,2.972972972972973
6,13,136,2.4285714285714284
7,0,102,6.0
7,2,98,3.92
7,4,103,3.6785714285714284
7,6,104,4.521739130434782
7,8,110,3.0555555555555554
7,10,126,2.3773584905660377
7,12,123,1.835820895522388
7,14,112,2.6666666666666665
7,16,132,2.5384615384615383
7,18,108,1.6875
7,20,107,2.183673469387755
8,1,98,4.083333333333333
8,3,111,3.8275862068965516
8,5,109,2.945945945945946
8,7,108,2.347826086956522
8,9,110,3.0555555555555554
9,1,103,4.681818181818182
9,3,106,3.925925925925926
9,5,103,4.478260869565218
9,7,110,4.230769230769231
9,9,108,3.375
9,11,117,3.1621621621621623
9,13,124,2.8181818181818183
9,15,130,2.2033898305084745
10,1,99,6.1875
10,3,99,5.5
10,5,103,4.904761904761905
10,7,106,3.533333333333333
11,0,103,4.12
11,2,104,4.7272727272727275
11,4,104,4.333333333333333
11,6,108,4.0
11,8,116,3.135135135135135
12,1,92,6.133333333333334
12,3,99,4.125
12,5,106,3.7857142857142856
12,7,106,3.4193548387096775
12,9,109,3.303030303030303
12,11,113,3.2285714285714286
12,13,108,2.918918918918919
13,1,103,5.421052631578948
13,3,98,4.083333333333333
13,5,108,3.176470588235294
13,7,105,2.441860465116279
13,9,111,2.707317073170732
14,1,103,5.421052631578948
14,3,108,4.153846153846154
14,5,108,2.918918918918919
14,7,111,2.9210526315789473
14,9,106,1.8928571428571428
14,11,110,2.972972972972973
15,0,100,4.3478260869565215
15,2,103,4.291666666666667
15,4,106,3.925925925925926
15,6,105,3.28125
15,8,110,3.5483870967741935
15,10,108,3.375
15,12,120,1.9672131147540983
15,14,147,2.161764705882353
16,1,102,4.636363636363637
16,3,109,3.892857142857143
16,5,107,2.7435897435897436
16,7,104,4.521739130434782
16,9,108,3.176470588235294
16,11,104,2.6666666666666665
16,13,102,3.642857142857143
17,0,95,5.588235294117647
17,2,107,4.6521739130434785
17,4,102,4.636363636363637
17,6,97,5.105263157894737
17,8,103,3.6785714285714284
17,10,105,3.5
17,12,113,3.2285714285714286
17,14,124,2.883720930232558
17,16,111,2.707317073170732
18,1,97,5.388888888888889
18,3,106,4.076923076923077
18,5,102,4.08
18,7,108,3.7241379310344827
18,9,108,2.16
18,11,105,4.038461538461538
19,0,97,5.705882352941177
19,2,102,5.1
19,4,98,2.5128205128205128
19,6,108,2.076923076923077
19,8,126,2.3333333333333335
19,10,113,2.627906976744186
19,12,130,2.8260869565217392
19,14,137,1.9295774647887325
19,16,109,2.7948717948717947
20,0,99,5.2105263157894735
20,2,97,6.0625
20,4,106,3.0285714285714285
20,6,107,3.689655172413793
20,8,107,3.057142857142857
20,10,107,3.566666666666667
20,12,109,3.1142857142857143
20,14,109,3.0277777777777777
20,16,108,2.347826086956522
20,18,135,1.8493150684931507
21,0,100,4.761904761904762
21,2,105,4.7727272727272725
21,4,98,4.9
21,6,102,4.08
21,8,108,2.6341463414634148
21,10,136,2.6153846153846154
21,12,105,2.234042553191489
22,0,98,4.454545454545454
22,2,107,4.28
22,4,105,3.1818181818181817
22,6,107,3.242424242424242
22,8,112,2.8
22,10,118,2.8780487804878048
22,12,107,2.7435897435897436
22,14,123,2.6739130434782608
22,16,126,2.8636363636363638
22,18,125,2.4038461538461537
22,20,133,2.3333333333333335
23,1,95,5.0
23,3,107,3.34375
23,5,110,3.235294117647059
23,7,109,3.7586206896551726
23,9,106,4.416666666666667
23,11,112,3.2941176470588234
23,13,109,2.945945945945946
24,0,101,4.590909090909091
24,2,103,3.6785714285714284
24,4,100,4.545454545454546
24,6,100,4.166666666666667
24,8,105,3.5
24,10,110,3.5483870967741935
24,12,111,2.8461538461538463
24,14,163,3.7045454545454546
25,0,98,6.533333333333333
25,2,97,5.705882352941177
25,4,97,5.388888888888889
25,6,106,4.24
25,8,116,3.0526315789473686
25,10,107,3.1470588235294117
25,12,112,2.604651162790698
26,1,97,4.619047619047619
26,3,104,4.521739130434782
26,5,106,4.076923076923077
26,7,103,3.121212121212121
26,9,116,3.0526315789473686
26,11,119,3.1315789473684212
26,13,111,3.3636363636363638
26,15,107,1.5970149253731343
27,0,101,4.590909090909091
27,2,100,5.0
27,4,102,3.923076923076923
27,6,104,4.521739130434782
27,8,106,3.7857142857142856
27,10,110,3.5483870967741935
27,12,105,2.282608695652174
27,14,115,3.108108108108108
27,16,110,2.2916666666666665
27,18,106,2.2083333333333335
27,20,134,1.4565217391304348
28,1,92,5.411764705882353
28,3,95,5.9375
28,5,99,4.5
28,7,111,4.111111111111111
28,9,106,2.3555555555555556
28,11,108,2.4545454545454546
28,13,131,2.425925925925926
28,15,107,2.3260869565217392
29,1,98,5.764705882352941
29,3,107,4.6521739130434785
29,5,99,4.714285714285714
29,7,105,4.038461538461538
29,9,116,3.0526315789473686
30,0,100,4.761904761904762
30,2,97,5.705882352941177
30,4,98,6.125
30,6,102,3.5172413793103448
30,8,108,2.7
30,10,113,3.138888888888889
30,12,116,3.0526315789473686
30,14,108,3.176470588235294
30,16,106,2.65
31,0,102,5.1
31,2,96,5.647058823529412
31,4,97,4.85
31,6,106,3.7857142857142856
31,8,103,2.861111111111111
31,10,117,3.1621621621621623
31,12,116,3.0526315789473686
31,14,109,1.4931506849315068
32,0,99,4.95
32,2,93,5.8125
32,4,107,3.8214285714285716
32,6,107,3.242424242424242
32,8,109,3.5161290322580645
32,10,120,2.3529411764705883
32,12,111,3.264705882352941
32,14,158,2.6779661016949152
33,0,97,5.705882352941177
33,2,103,4.478260869565218
33,4,108,3.6
33,6,108,4.5
33,8,112,2.871794871794872
33,10,108,3.272727272727273
33,12,116,3.0526315789473686
33,14,104,2.810810810810811
33,16,109,3.303030303030303
33,18,109,2.725
33,20,124,2.8181818181818183
33,22,148,2.642857142857143
34,1,93,6.2
34,3,107,4.115384615384615
34,5,102,4.857142857142857
34,7,102,4.08
34,9,108,2.918918918918919
34,11,109,2.5348837209302326
34,13,109,1.981818181818182
35,0,102,5.368421052631579
35,2,109,3.892857142857143
35,4,107,3.34375
35,6,105,2.763157894736842
35,8,106,3.0285714285714285
35,10,120,2.3529411764705883
35,12,124,1.9375
35,14,109,1.5571428571428572
35,16,173,4.119047619047619
36,0,108,4.5
36,2,105,4.7727272727272725
36,4,108,4.695652173913044
36,6,105,3.888888888888889
36,8,106,3.925925925925926
36,10,100,4.166666666666667
36,12,120,4.137931034482759
37,0,98,4.666666666666667
37,2,101,5.315789473684211
37,4,98,4.666666666666667
37,6,107,4.115384615384615
37,8,102,3.2903225806451615
37,10,109,2.8684210526315788
37,12,121,2.630434782608696
37,14,135,2.2131147540983607
37,16,128,1.1130434782608696
37,18,109,2.5952380952380953
38,1,96,6.0
38,3,103,4.681818181818182
38,5,106,3.533333333333333
38,7,106,3.925925925925926
38,9,106,3.212121212121212
38,11,111,3.46875
38,13,109,1.626865671641791
39,1,99,3.96
39,3,98,3.769230769230769
39,5,100,4.0
39,7,106,3.212121212121212
39,9,110,3.0555555555555554
39,11,118,3.1052631578947367
39,13,132,2.8085106382978724
39,15,108,1.894736842105263
40,0,97,4.409090909090909
40,2,109,3.7586206896551726
40,4,108,2.918918918918919
40,6,109,2.945945945945946
40,8,106,2.9444444444444446
40,10,135,1.8493150684931507
40,12,120,2.926829268292683
41,1,102,4.636363636363637
41,3,105,4.7727272727272725
41,5,98,5.444444444444445
41,7,108,4.32
41,9,110,3.5483870967741935
42,1,92,6.133333333333334
42,3,107,4.28
42,5,109,2.945945945945946
42,7,111,3.264705882352941
42,9,108,3.7241379310344827
42,11,109,3.0277777777777777
42,13,108,2.511627906976744
43,0,103,4.478260869565218
43,2,101,4.208333333333333
43,4,103,4.291666666666667
43,6,108,3.857142857142857
43,8,110,3.5483870967741935
43,10,106,3.212121212121212
43,12,120,2.5531914893617023
43,14,126,2.9302325581395348
44,1,92,6.133333333333334
44,3,99,4.304347826086956
44,5,101,3.8846153846153846
44,7,109,2.945945945945946
44,9,111,3.3636363636363638
44,11,108,1.6875
44,13,108,2.918918918918919
45,1,98,5.444444444444445
45,3,106,4.24
45,5,99,6.1875
45,7,319,22.785714285714285
46,1,103,5.15
46,3,106,3.533333333333333
46,5,108,3.272727272727273
46,7,111,3.264705882352941
46,9,110,3.235294117647059
46,11,108,2.918918918918919
46,13,114,3.081081081081081
46,15,107,2.891891891891892
46,17,111,2.9210526315789473
47,1,103,4.681818181818182
47,3,108,3.6
47,5,108,3.085714285714286
47,7,108,3.272727272727273
47,9,109,2.7948717948717947
47,11,108,1.5211267605633803
47,13,111,3.3636363636363638
48,1,100,4.3478260869565215
48,3,103,3.5517241379310347
48,5,107,3.057142857142857
48,7,114,2.7804878048780486
48,9,110,2.619047619047619
48,11,108,3.0
48,13,118,3.189189189189189
48,15,204,6.181818181818182
49,0,107,4.6521739130434785
49,2,103,5.15
49,4,103,4.681818181818182
49,6,109,3.6333333333333333
49,8,105,2.9166666666666665
49,10,110,3.142857142857143
49,12,127,2.309090909090909
49,14,134,2.3508771929824563
50,0,102,5.368421052631579
50,2,102,3.923076923076923
50,4,109,3.303030303030303
50,6,110,3.0555555555555554
50,8,109,2.2244897959183674
50,10,111,2.3617021276595747
50,12,126,2.8636363636363638
50,14,108,1.0188679245283019
51,0,104,4.333333333333333
51,2,105,3.888888888888889
51,4,93,5.470588235294118
51,6,99,5.2105263157894735
51,8,113,3.323529411764706
51,10,117,2.7857142857142856
51,12,172,4.914285714285715
52,1,92,6.133333333333334
52,3,102,5.1
52,5,100,4.761904761904762
52,7,103,4.478260869565218
52,9,106,3.212121212121212
52,11,109,2.8684210526315788
52,13,119,3.2162162162162162
52,15,107,1.9454545454545455
53,1,102,4.636363636363637
53,3,105,3.5
53,5,105,3.28125
53,7,105,3.5
53,9,107,3.962962962962963
53,11,109,3.303030303030303
53,13,117,2.4893617021276597
53,15,128,1.9692307692307693
53,17,111,2.707317073170732
54,0,98,4.9
54,2,101,5.9411764705882355
54,4,103,3.814814814814815
54,6,104,3.25
54,8,111,3.9642857142857144
54,10,110,2.75
54,12,125,2.7777777777777777
54,14,130,2.6
54,16,133,1.3434343434343434
55,1,99,4.714285714285714
55,3,100,5.0
55,5,105,4.375
55,7,109,3.7586206896551726
55,9,110,2.682926829268293
56,0,103,5.15
56,2,103,4.904761904761905
56,4,104,4.7272727272727275
56,6,111,3.264705882352941
56,8,103,3.0294117647058822
56,10,112,3.2
56,12,129,2.6875
56,14,121,3.025
56,16,116,3.0526315789473686
56,18,108,1.6875
56,20,111,2.2653061224489797
57,0,95,5.9375
57,2,100,4.761904761904762
