Player1_strategy,Player1_wins,Player2_wins,Player2_strategy,mcts_time,mean_time_per_game,mean_num_moves,secods_per_game,time_per_move
AGGRESSIVE,13,7,MCTS,10000,0 days 00:05:52.535149000,5.9,352,59.66101694915254
CONTROLLING,5,5,MCTS,10000,0 days 00:07:54.717381000,9.0,474,52.666666666666664
