przeciwnik,czas [warunek petli],srednia liczba playoutow
RANDOM,1000,920.9051215728716
AGGRESSIVE,1000,1009.7092460317458
CONTROLLING,1000,944.0889689338438
RANDOM,500,500.32352526068695
AGGRESSIVE,500,526.5640674603173
CONTROLLING,500,505.7729125874126
RANDOM,250,269.6941808659177
AGGRESSIVE,250,266.0919761904762
CONTROLLING,250,264.10749467199474
RANDOM,100,116.37859262959262
AGGRESSIVE,100,108.60455952380951
CONTROLLING,100,108.02088600288602
