ruch,srednia liczba playoutow
0,1021.27
1,1027.27
2,1098.83
3,1273.65
4,1310.03125
5,1402.6179775280898
6,1696.5733333333333
7,1930.6444444444444
8,1936.576923076923
9,1852.3333333333333
10,1429.8333333333333
11,2748.0
12,5118.0
