przeciwnik,czas [warunek petli],mediana glebokosci liscia
RANDOM,1000,6.40293716006216
AGGRESSIVE,1000,6.9245
CONTROLLING,1000,6.788888891337421
RANDOM,500,5.4544162202176905
AGGRESSIVE,500,6.0541527777777775
CONTROLLING,500,5.899349109224108
RANDOM,250,4.435080081210499
AGGRESSIVE,250,4.9150833333333335
CONTROLLING,250,4.923741841491841
RANDOM,100,3.2372920690420686
AGGRESSIVE,100,3.6222083333333335
CONTROLLING,100,3.7040147907647905
