Player1_strategy,Player1_wins,Player2_wins,Player2_strategy,mcts_time,mean_time_per_game
CONTROLLING,75,25,MCTS,500,0 days 00:02:01.450542000
RANDOM,15,85,MCTS,500,0 days 00:02:31.996403000
