Player1_strategy,Player1_wins,Player2_wins,Player2_strategy,mcts_time,mean_time_per_game
AGGRESSIVE,97,3,MCTS,100,0 days 00:00:35.726091000
CONTROLLING,96,4,MCTS,100,0 days 00:00:34.583233000
RANDOM,54,46,MCTS,100,0 days 00:01:03.663400000
AGGRESSIVE,78,22,MCTS,500,0 days 00:01:54.165525000
