przeciwnik,czas [warunek petli],srednia glebokosc liscia
RANDOM,1000,6.009162884338286
AGGRESSIVE,1000,6.561515320725763
CONTROLLING,1000,6.351476909549399
RANDOM,500,5.05109841968138
AGGRESSIVE,500,5.618848449414896
CONTROLLING,500,5.4382078620586425
RANDOM,250,4.118457224098538
AGGRESSIVE,250,4.619045958163621
CONTROLLING,250,4.563184583502451
RANDOM,100,2.99431467674937
AGGRESSIVE,100,3.4083739393079044
CONTROLLING,100,3.41258570318774
