przeciwnik,czas [warunek petli],srednia czesc eksploracji
RANDOM,1000,0.9035835034257054
AGGRESSIVE,1000,0.9128644876986225
CONTROLLING,1000,0.9120867741257328
RANDOM,500,0.8993531446367677
AGGRESSIVE,500,0.9104609403930409
CONTROLLING,500,0.9132949628624472
RANDOM,250,0.8901861831894344
AGGRESSIVE,250,0.9049352057618901
CONTROLLING,250,0.9213254165689875
RANDOM,100,0.8397477620064195
AGGRESSIVE,100,0.8899239552851621
CONTROLLING,100,0.9112361457015679
