game,move,mean,median,max
0,1,1.5,1.5,3
0,3,1.0,1.0,2
0,5,11.916666666666666,12.0,24
0,7,8.585365853658537,10.0,18
0,9,4.04,5.0,9
0,11,3.40625,3.0,7
1,1,3.5555555555555554,4.0,7
1,3,4.0,4.0,8
1,5,4.416666666666667,4.0,9
1,7,3.4615384615384617,4.0,7
2,0,1.5,1.5,3
2,2,5.545454545454546,6.0,11
2,4,1.75,1.5,4
2,6,6.1923076923076925,6.5,13
2,8,3.238095238095238,2.0,8
2,10,4.2,5.0,9
2,12,4.586206896551724,5.0,10
3,1,10.393939393939394,11.0,21
3,3,1.7777777777777777,2.0,4
3,5,8.205882352941176,7.5,17
3,7,18.120481927710845,18.0,35
3,9,4.833333333333333,5.5,11
4,0,8.4,9.0,16
4,2,1.3333333333333333,1.0,3
4,4,3.1,2.5,6
4,6,17.786666666666665,20.0,33
4,8,1.6,2.0,3
4,10,18.604477611940297,20.5,35
4,12,4.857142857142857,6.0,11
5,1,1.0,1.0,2
5,3,1.8571428571428572,2.0,4
5,5,1.6,2.0,3
5,7,1.0,1.0,2
5,9,4.590909090909091,5.0,9
5,11,4.6923076923076925,5.5,10
5,13,4.230769230769231,5.0,9
6,0,1.0,1.0,2
6,2,2.0,2.0,4
6,4,5.2,5.0,12
6,6,17.473684210526315,18.0,35
6,8,3.769230769230769,3.5,9
6,10,3.3076923076923075,2.5,7
7,1,24.47872340425532,25.5,42
7,3,1.5,1.5,3
7,5,32.54248366013072,35.0,58
7,7,8.605263157894736,8.0,18
7,9,4.44,4.0,10
7,11,4.8076923076923075,5.0,10
8,0,3.3,4.0,6
8,2,5.176470588235294,5.0,10
8,4,9.282051282051283,10.0,18
8,6,3.52,2.0,9
8,8,1.8,2.0,4
8,10,4.655172413793103,4.0,11
9,0,1.5,1.5,3
9,2,3.0,3.0,6
9,4,2.0,2.0,4
9,6,2.0,2.0,4
9,8,1.4,1.0,3
9,10,1.75,2.0,4
10,0,1.7142857142857142,2.0,3
10,2,1.4285714285714286,1.0,3
10,4,1.8571428571428572,2.0,4
10,6,2.2,2.0,5
10,8,6.978260869565218,7.0,16
10,10,3.289473684210526,3.0,7
10,12,2.6363636363636362,2.0,6
10,14,1.8461538461538463,2.0,3
11,0,1.2,1.0,2
11,2,1.4,1.0,3
11,4,4.214285714285714,5.0,8
11,6,1.875,2.0,4
11,8,9.108695652173912,9.5,18
11,10,4.828571428571428,5.0,11
12,1,7.333333333333333,7.5,15
12,3,3.8461538461538463,4.0,8
12,5,3.6363636363636362,3.0,8
12,7,1.0,1.0,2
12,9,4.2,5.0,9
12,11,4.448275862068965,5.0,10
13,1,1.0,1.0,2
13,3,1.4,1.0,3
13,5,4.333333333333333,4.5,9
13,7,3.3157894736842106,2.0,8
13,9,9.27027027027027,10.0,18
13,11,4.318181818181818,4.5,9
14,0,1.5,1.5,3
14,2,1.0,1.0,2
14,4,1.4,1.0,3
14,6,13.716666666666667,13.5,27
14,8,8.068181818181818,7.5,18
14,10,3.9615384615384617,3.0,9
15,1,6.684210526315789,7.0,13
15,3,3.4545454545454546,4.0,7
15,5,1.5714285714285714,2.0,3
15,7,4.45,3.5,10
15,9,4.2105263157894735,5.0,9
15,11,4.68,5.0,10
16,0,1.5,1.5,3
16,2,18.313253012048193,20.0,36
16,4,5.0,5.0,11
16,6,1.5555555555555556,1.0,4
16,8,4.878048780487805,4.0,14
16,10,6.225806451612903,6.0,15
16,12,10.127272727272727,10.0,20
16,14,6.7073170731707314,7.0,14
17,0,1.5,1.5,3
17,2,1.5,1.5,3
17,4,5.857142857142857,6.0,13
17,6,11.787878787878787,11.5,25
17,8,2.8333333333333335,3.0,6
17,10,2.71875,2.0,7
17,12,2.7857142857142856,2.5,7
18,0,1.4,1.0,3
18,2,10.333333333333334,10.0,21
18,4,3.6923076923076925,3.0,8
18,6,2.2857142857142856,2.0,5
18,8,2.2,2.0,5
18,10,5.333333333333333,5.5,11
18,12,2.3448275862068964,2.0,4
19,0,1.0,1.0,2
19,2,1.375,1.0,3
19,4,2.9523809523809526,2.0,6
19,6,1.6666666666666667,2.0,4
19,8,8.777777777777779,8.0,20
19,10,4.296296296296297,3.0,10
20,1,10.891891891891891,11.0,21
20,3,6.785714285714286,7.5,14
20,5,3.5555555555555554,3.5,8
20,7,4.260869565217392,5.0,10
20,9,8.327272727272728,8.0,18
21,1,1.5,1.5,3
21,3,3.7857142857142856,4.0,8
21,5,3.4705882352941178,2.0,9
21,7,3.95,4.5,9
21,9,5.40625,6.0,11
22,0,1.5,1.5,3
22,2,10.868421052631579,9.5,23
22,4,7.9772727272727275,6.0,21
22,6,2.5,2.5,5
22,8,8.681818181818182,9.0,18
22,10,11.761904761904763,12.0,23
22,12,17.64761904761905,18.0,37
22,14,5.0588235294117645,4.5,11
23,0,1.2,1.0,2
23,2,9.222222222222221,8.5,20
23,4,3.066666666666667,2.0,7
23,6,8.216216216216216,8.0,16
23,8,12.693333333333333,12.0,27
23,10,7.982758620689655,7.5,19
23,12,4.0,3.0,10
24,0,1.5,1.5,3
24,2,1.2,1.0,2
24,4,1.5,1.5,3
24,6,1.625,2.0,3
24,8,4.833333333333333,5.0,11
25,0,1.5,1.5,3
25,2,1.2,1.0,2
25,4,1.4285714285714286,1.0,3
25,6,19.47826086956522,19.5,38
25,8,1.8,2.0,4
25,10,3.25,2.5,8
26,0,1.5,1.5,3
26,2,12.666666666666666,12.5,25
26,4,1.8571428571428572,2.0,4
26,6,5.92,6.0,13
26,8,2.2,2.0,4
26,10,1.0,1.0,2
27,0,1.0,1.0,2
27,2,1.0,1.0,2
27,4,2.6666666666666665,2.0,5
27,6,1.8571428571428572,2.0,4
27,8,1.9,2.0,4
27,10,11.855263157894736,12.5,25
27,12,9.796610169491526,10.0,19
27,14,3.4615384615384617,2.5,7
28,1,6.294117647058823,6.0,13
28,3,30.517857142857142,33.0,49
28,5,1.8,2.0,3
28,7,1.2857142857142858,1.0,3
28,9,3.8333333333333335,4.5,8
28,11,5.290322580645161,6.0,11
28,13,4.972972972972973,5.0,10
29,0,1.0,1.0,2
29,2,3.2142857142857144,3.5,5
29,4,3.210526315789474,3.0,6
29,6,1.6923076923076923,2.0,3
29,8,3.7,4.0,9
29,10,4.8,6.0,11
30,1,14.214285714285714,14.5,29
30,3,13.893617021276595,14.0,28
30,5,1.6,2.0,3
30,7,1.5,1.5,3
30,9,1.0,1.0,2
30,11,3.9523809523809526,4.0,9
31,1,1.5,1.5,3
31,3,1.0,1.0,2
31,5,3.357142857142857,3.5,7
31,7,11.733333333333333,12.5,25
31,9,3.566666666666667,2.5,9
31,11,8.245283018867925,8.0,18
32,1,1.2,1.0,2
32,3,1.4,1.0,3
32,5,4.75,4.5,11
32,7,3.642857142857143,3.5,8
32,9,7.575,9.5,16
32,11,2.739130434782609,2.0,7
33,0,11.692307692307692,12.0,23
33,2,1.4285714285714286,1.0,3
33,4,3.4285714285714284,3.5,8
33,6,1.8,2.0,4
33,8,4.0,3.0,9
33,10,2.7142857142857144,2.5,6
34,1,1.4,1.0,3
34,3,6.521739130434782,6.0,14
34,5,4.066666666666666,5.0,8
34,7,11.72549019607843,11.0,25
34,9,4.521739130434782,4.0,10
34,11,4.117647058823529,5.0,8
35,1,1.2,1.0,2
35,3,2.7,2.5,6
35,5,3.2142857142857144,2.5,7
35,7,3.4444444444444446,3.5,6
35,9,4.869565217391305,6.0,10
35,11,4.472222222222222,3.0,11
35,13,4.178571428571429,3.5,8
36,1,1.5,1.5,3
36,3,1.0,1.0,2
36,5,3.7058823529411766,3.0,9
36,7,3.909090909090909,3.5,9
36,9,4.136363636363637,3.0,10
37,1,6.444444444444445,7.0,12
37,3,1.0,1.0,2
