przeciwnik,czas [warunek petli],srednia liczba playoutow
AGGRESSIVE,1000,1175.811892857143
CONTROLLING,1000,1378.462564019314
RANDOM,1000,1331.6934670151652
AGGRESSIVE,500,564.8511190476191
CONTROLLING,500,608.4929942279942
RANDOM,500,629.9226839826839
AGGRESSIVE,100,108.76154761904762
CONTROLLING,100,109.21379401154401
RANDOM,100,119.0134038624774
