przeciwnik,czas [warunek petli],srednia glebokosc liscia
AGGRESSIVE,1000,6.898555016521446
CONTROLLING,1000,6.781659278859674
RANDOM,1000,6.362045716571377
AGGRESSIVE,500,5.636041075354459
CONTROLLING,500,5.530094817142698
RANDOM,500,5.364527878799724
AGGRESSIVE,100,3.4158260899593857
CONTROLLING,100,3.3595080028007476
RANDOM,100,3.0005114519231375
