przeciwnik,czas [warunek petli],mediana glebokosci liscia
AGGRESSIVE,1000,7.310638888888889
CONTROLLING,1000,7.239513403263403
RANDOM,1000,6.753090881864466
AGGRESSIVE,500,6.009795634920636
CONTROLLING,500,5.992387806637807
RANDOM,500,5.796892496392497
AGGRESSIVE,100,3.650059523809524
CONTROLLING,100,3.6282011183261176
RANDOM,100,3.2300253235326766
