ruch,mediana glebokosci liscia
0,10.565
1,9.205
2,8.245
3,7.335
4,6.348958333333333
5,5.370786516853933
6,4.326666666666667
7,4.2444444444444445
8,4.3076923076923075
9,4.133333333333334
10,4.166666666666667
11,4.0
12,4.0
