ruch,sredni stopien eksploracji
0,0.9626076904253454
1,0.9589216444618768
2,0.9398043831378213
3,0.930964129774296
4,0.9030221508961717
5,0.8578800995733181
6,0.8755902959307402
7,0.8444647400275801
8,0.8551257297387316
9,0.8437556618204274
10,0.8758133838831202
11,0.883396977909173
12,1.0
