ruch,srednia glebokosc liscia
0,9.901321275704078
1,8.630764415268544
2,7.693494139300257
3,6.9246923667792775
4,5.940345393090969
5,4.965326414828207
6,4.155208070669538
7,3.9231585698912226
8,4.004419307876324
9,3.763847373209711
10,3.928242315207797
11,3.5549778855335883
12,3.462962962962963
