game,move,num_playouts,mean_num_playouts_per_node
0,1,5,1.6666666666666667
0,3,14,2.3333333333333335
0,5,7,1.75
0,7,11,2.2
0,9,203,4.613636363636363
0,11,62,2.9523809523809526
0,13,219,4.132075471698113
1,1,7,1.75
1,3,9,1.8
1,5,176,5.866666666666666
1,7,37,3.3636363636363638
1,9,35,3.888888888888889
1,11,33,2.5384615384615383
2,0,9,2.25
2,2,7,1.75
2,4,139,5.148148148148148
2,6,74,2.96
2,8,35,2.1875
2,10,89,3.869565217391304
2,12,32,2.1333333333333333
3,1,5,1.6666666666666667
3,3,91,3.9565217391304346
3,5,7,1.75
3,7,635,7.055555555555555
3,9,81,2.53125
3,11,103,3.433333333333333
4,0,7,1.75
4,2,7,1.75
4,4,125,3.90625
4,6,92,2.875
4,8,81,3.1153846153846154
4,10,61,2.259259259259259
5,0,157,6.541666666666667
5,2,19,2.375
5,4,16,2.2857142857142856
5,6,34,1.7
5,8,58,2.5217391304347827
5,10,25,2.5
5,12,197,4.377777777777778
6,0,9,2.25
6,2,11,2.2
6,4,81,3.857142857142857
6,6,381,6.35
6,8,263,4.781818181818182
6,10,722,7.443298969072165
6,12,863,8.989583333333334
6,14,58,2.230769230769231
6,16,50,1.8518518518518519
6,18,580,5.225225225225225
6,20,49,1.96
7,1,7,1.75
7,3,175,6.0344827586206895
7,5,119,4.407407407407407
7,7,61,3.388888888888889
7,9,110,3.5483870967741935
7,11,40,2.2222222222222223
8,1,5,1.6666666666666667
8,3,20,2.5
8,5,7,1.75
8,7,499,6.743243243243243
8,9,53,2.5238095238095237
8,11,133,2.7708333333333335
8,13,399,4.534090909090909
8,15,197,4.104166666666667
8,17,207,3.2857142857142856
8,19,129,2.6875
8,21,24,1.8461538461538463
8,23,74,2.3870967741935485
8,25,48,2.4
9,0,5,1.6666666666666667
9,2,16,2.2857142857142856
9,4,137,4.724137931034483
9,6,59,2.8095238095238093
9,8,49,3.0625
9,10,312,4.8
9,12,215,3.467741935483871
9,14,76,2.4516129032258065
9,16,294,5.068965517241379
9,18,99,3.09375
9,20,72,2.88
10,1,9,2.25
10,3,50,4.166666666666667
10,5,141,4.548387096774194
10,7,203,4.142857142857143
10,9,66,2.5384615384615383
10,11,96,3.096774193548387
11,0,11,2.2
11,2,14,2.8
